"ID","Site","TRQ","Geno","GLS","SLA","Obs","Stg","FLN","FRN","INH","PL1","PL2","Nec","TCO","LFN","DLN","AvgPCD","herbType","y","x","L.R","date"
"p101","SO","1.1",1,101,1,"KM","FS",9,5,"6.4",0.5,1,0,1,"84",13,75,"chewing","310","0","L","6/20/24"
"p102","SO","1.1",NA,NA,NA,"KM","X",NA,NA,"",NA,NA,NA,NA,"",NA,NA,"","324","17.7","L","6/20/24"
"p103","SO","1.1",NA,NA,NA,"KM","R",NA,NA,"",NA,NA,NA,NA,"9",0,0,"","370","42","L","6/20/24"
"p104","SO","1.1",NA,NA,NA,"KM","R",NA,NA,"",NA,NA,NA,NA,"5",0,0,"","360","49","L","6/20/24"
"p105","SO","1.1",1,102,1,"KM","FS",6,6,"4.9",0.4,0.9,0,0,"26",4,15,"chewing","312","58.5","L","6/20/24"
"p106","SO","1.1",NA,NA,NA,"KM","R",NA,NA,"",NA,NA,NA,NA,"6",0,0,"","334","62","L","6/20/24"
"p107","SO","1.1",NA,NA,NA,"CR","R",NA,NA,"",NA,NA,NA,NA,"5",0,0,"","380","39.6","L","6/20/24"
"p108","SO","1.1",1,105,NA,"CR","R",NA,NA,"",NA,NA,NA,NA,"12",0,0,"","391.4","80","L","6/20/24"
"p109","SO","1.1",1,NA,NA,"KM","FS",2,2,"2.7",0.4,0.6,0,0,"15",NA,NA,"","331","105","L","6/20/24"
"p110","SO","1.1",NA,NA,NA,"CR","R",NA,NA,"",NA,NA,NA,NA,"10",0,0,"","352","47","L","6/20/24"
"p111","SO","1.1",1,104,1,"CR","FS",3,1,"2",0.4,0.8,0,0,"32",2,10,"chewing; window","376","123","L","6/20/24"
"p112","SO","1.1",1,103,0,"KM","FS",5,4,"2.3",0.3,0.6,0,0,"24",0,0,"","320.2","145.5","L","6/20/24"
"p113","SO","1.1",NA,NA,NA,"KM","R",NA,NA,"",NA,NA,NA,NA,"9",0,0,"","339.3","140","L","6/20/24"
"p114","SO","1.1",1,106,1,"CR","FS",5,4,"4.6",0.2,0.8,0,0,"42",2,5,"window","364","128","L","6/20/24"
"p115","SO","1.1",1,107,1,"KM","FS",8,9,"4.8",0.4,0.8,0,0,"47",3,5,"mining","329","157","L","6/20/24"
"p116","SO","1.1",NA,NA,NA,"CR","R",NA,NA,"",NA,NA,NA,NA,"5",0,0,"","372","151","L","6/20/24"
"p117","SO","1.1",NA,NA,NA,"CR","R",NA,NA,"",NA,NA,NA,NA,"5",0,0,"","373","155","L","6/20/24"
"p118","SO","1.1",1,108,1,"KM","FS",6,8,"7.8",0.4,0.9,0,0,"31",1,5,"window","334","160.5","L","6/20/24"
"p119","SO","1.1",NA,NA,NA,"CR","R",NA,NA,"",NA,NA,NA,NA,"7",1,5,"window","386","198","L","6/20/24"
"p120","SO","1.1",1,110,1,"CR","FS",15,10,"5.4",0.6,1,0,0,"68",2,5,"window","388","196","L","6/20/24"
"p121","SO","1.1",1,109,1,"KM","FS",7,5,"3.1",0.5,0.9,0,0,"33",0,0,"","334","169","L","6/20/24"
"p122","SO","1.2",NA,NA,NA,"KM","R",NA,NA,"",NA,NA,NA,NA,"15",0,0,"","924","23","L","6/20/24"
"p123","SO","1.2",NA,NA,NA,"KM","R",NA,NA,"",NA,NA,NA,NA,"17",0,0,"","929","23","L","6/20/24"
"p124","SO","1.2",NA,NA,NA,"KM","R",NA,NA,"",NA,NA,NA,NA,"18",0,0,"","938","21","L","6/20/24"
"p125","SO","1.2",NA,NA,NA,"KM","R",NA,NA,"",NA,NA,NA,NA,"13",0,0,"","940","24.5","L","6/20/24"
"p126","SO","1.2",NA,NA,NA,"KM","R",NA,NA,"",NA,NA,NA,NA,"14",0,0,"","929.5","5.38","L","6/20/24"
"p127","SO","1.2",NA,NA,NA,"KM","R",NA,NA,"",NA,NA,NA,NA,"17",0,0,"","934","39","L","6/20/24"
"p128","SO","1.2",NA,NA,NA,"KM","R",NA,NA,"",NA,NA,NA,NA,"18",0,0,"","938","40","L","6/20/24"
"p129","SO","1.2",NA,NA,NA,"KM","R",NA,NA,"",NA,NA,NA,NA,"",NA,NA,"","927","56","L","6/20/24"
"p130","SO","1.2",NA,NA,NA,"KM","R",NA,NA,"",NA,NA,NA,NA,"",NA,NA,"","948","85.6","L","6/20/24"
"p131","SO","1.2",NA,NA,NA,"KM","R",NA,NA,"",NA,NA,NA,NA,"20",0,0,"","952","94.5","L","6/20/24"
"p132","SO","1.2",NA,NA,NA,"KM","R",NA,NA,"",NA,NA,NA,NA,"22",0,0,"","905","67.5","L","6/20/24"
"p133","SO","1.2",NA,NA,NA,"KM","R",NA,NA,"",NA,NA,NA,NA,"13",0,0,"","909","143.5","L","6/20/24"
"p134","SO","1.2",NA,NA,NA,"KM","R",NA,NA,"",NA,NA,NA,NA,"16",0,0,"","921","144","L","6/20/24"
"p135","SO","1.2",NA,NA,NA,"KM","R",NA,NA,"",NA,NA,NA,1,"15",0,0,"","943","163","L","6/20/24"
"p136","SO","1.2",NA,NA,NA,"KM","R",NA,NA,"",NA,NA,NA,1,"25",1,90,"chewing","981","11.5","L","6/20/24"
"p137","SO","1.2",1,111,1,"KM","FS",1,4,"1.7",NA,NA,NA,NA,"33",0,0,"","975","29","L","6/20/24"
"p138","SO","1.2",NA,NA,NA,"KM","R",NA,NA,"",NA,NA,NA,NA,"21",0,0,"","984","44","L","6/20/24"
"p139","SO","1.2",NA,NA,NA,"KM","R",NA,NA,"",NA,NA,NA,NA,"16",0,0,"","981","51.5","L","6/20/24"
